filename,label,top right x,top right y,bottom right x,bottom right y,bottom left x,bottom left y,top left x,top left y
oR72wdOuzdHVh3sMMmC4gMG2aG5jeub,3LN996012F,706.8443,411.87338,707.5107,455.8296,371.28748,462.13885,370.62106,418.18262
7VVWhb6tKde=x=w5x6_p=lfcTlGTBa,2FV271041L,767.0355,426.20898,767.6008,488.00024,428.13678,491.84418,427.57147,430.0529
VweTPTTYjERnFWFr3R7=YFKrj9NBT1Lg,2FV413012A,840.83276,495.5923,841.1554,551.6139,421.96686,554.60376,421.64413,498.58215
XOIg4ZPERXLzBmsdMd4XNHYH1r=Urbr,3LP563013A,871.6226,522.9146,872.52136,593.1593,352.70407,601.3916,351.80527,531.1469
jm85agd8RyzlDBl6jjnpypYIuVw7BTvb,3LR436033F,837.7412,424.972,838.3091,474.88922,469.82086,480.0787,469.25296,430.16144
dcsOR9BPu5bKUqrUyuUmNbKhgHIjmRBQ,2FW92403,731.1134,441.23712,731.1134,484.53607,458.94846,484.53607,458.94846,441.23712
OZgK3areVawgYeTwDmxOTLvC4GpT9H,2FW823011A,785.37665,447.5274,786.2739,500.10052,385.1263,508.57474,384.22903,456.00162
Rcp9z2njwWuaEeaTeMZzJbVrcDQBxx5c,3LL142032F,782.3141,427.67178,782.7719,479.1176,411.19568,483.21072,410.73785,431.7649
ZtONZyQpjm7C43sDFB7J48=z6N1pgN,3LQ882041F,793.358,483.0881,794.35675,571.2311,300.52228,578.1574,299.5235,490.01443
wKhkXEfRMtJ6wuzazt3hWa5NJx1l=zJ,3JC621013K,771.4871,439.48355,772.42535,484.8507,411.4046,494.0923,410.46634,448.72513
wg6NKFp_LBqubCKQJqtlbxFmFK5ME93z,2FX604012F,733.72626,447.63568,734.47,502.24213,314.3065,509.3248,313.5628,454.71835
CzF4PoBTMJ=h7l1wSQW1Wgq4K2MIKK,2FR721021H,1051.7438,567.32935,1053.8188,654.7381,359.2303,675.14874,357.15518,587.74
6XZ56d_hSmRHhpgd_BwZ7Ox63EhKjIk,2FY34204,711.36896,427.95166,711.89514,473.76083,443.53455,477.57642,443.0084,431.76724
rI1pcyVvOFp2PtSa9YnI9Tr81Bqw2O2x,1WB19401,758.9483,467.26013,759.9501,511.51324,497.57135,518.865,496.56958,474.61185
